tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-9900,United Cup,Hard,18,A,20241227,400,126203,,,Taylor Fritz,R,196,USA,27.1,128034,,,Hubert Hurkacz,R,196,POL,27.8,6-4 5-7 7-6(4),3,F,138,13,3,96,62,51,20,17,0,1,17,0,96,64,51,20,17,1,2,4,5100,16,2640
2025-9900,United Cup,Hard,18,A,20241227,399,126203,,,Taylor Fritz,R,196,USA,27.1,207830,,,Tomas Machac,R,183,CZE,24.1,6-7(4) 6-5 RET,3,SF,111,15,3,79,57,43,9,11,8,10,5,2,79,52,35,14,12,1,4,4,5100,25,1758
2025-9900,United Cup,Hard,18,A,20241227,398,128034,,,Hubert Hurkacz,R,196,POL,27.8,207686,,,Alexander Shevchenko,R,185,KAZ,24.0,6-3 6-2,3,SF,58,10,0,46,35,28,8,9,0,0,1,1,49,34,18,9,8,1,4,16,2640,78,715
2025-9900,United Cup,Hard,18,A,20241227,397,126203,,,Taylor Fritz,R,196,USA,27.1,111190,,,Zhizhen Zhang,R,193,CHN,28.1,6-4 6-4,3,QF,79,8,1,44,33,30,10,10,0,0,8,0,72,48,36,9,10,7,9,4,5100,45,1155
2025-9900,United Cup,Hard,18,A,20241227,396,207830,,,Tomas Machac,R,183,CZE,24.1,207925,,,Flavio Cobolli,R,183,ITA,22.6,6-1 6-2,3,QF,54,9,2,43,27,23,11,8,0,0,1,4,35,19,10,6,7,0,4,25,1758,32,1472
2025-9900,United Cup,Hard,18,A,20241227,394,128034,,,Hubert Hurkacz,R,196,POL,27.8,126129,,,Billy Harris,R,193,GBR,29.9,7-6(3) 7-5,3,QF,105,18,0,67,51,45,9,12,3,3,7,2,79,54,42,12,12,2,3,16,2640,125,474
2025-9900,United Cup,Hard,18,A,20241227,393,200000,,,Felix Auger Aliassime,R,193,CAN,24.3,126203,,,Taylor Fritz,R,196,USA,27.1,4-6 7-5 6-3,3,RR,139,19,4,89,59,47,15,16,2,4,13,1,92,58,42,16,15,1,4,29,1635,4,5100
2025-9900,United Cup,Hard,18,A,20241227,392,126203,,,Taylor Fritz,R,196,USA,27.1,106432,,,Borna Coric,R,188,CRO,28.1,6-3 6-2,3,RR,91,5,1,56,28,22,17,9,2,2,3,5,54,27,19,11,8,4,7,4,5100,90,639
2025-9900,United Cup,Hard,18,A,20241227,391,106432,,,Borna Coric,R,188,CRO,28.1,200000,,,Felix Auger Aliassime,R,193,CAN,24.3,0-6 6-4 6-4,3,RR,139,1,6,81,40,26,17,13,5,10,13,3,90,67,43,11,13,8,12,90,639,29,1635
2025-9900,United Cup,Hard,18,A,20241227,390,207830,,,Tomas Machac,R,183,CZE,24.1,128034,,,Hubert Hurkacz,R,196,POL,27.8,7-5 3-6 6-4,3,RR,115,8,5,83,52,43,14,15,2,3,14,3,85,55,40,21,16,3,5,25,1758,16,2640
2025-9900,United Cup,Hard,18,A,20241227,389,134770,,,Casper Ruud,R,183,NOR,26.0,128034,,,Hubert Hurkacz,R,196,POL,27.8,7-5 6-3,3,RR,83,4,0,61,44,34,12,11,2,2,8,0,58,40,28,8,10,4,6,6,4255,16,2640
2025-9900,United Cup,Hard,18,A,20241227,388,134770,,,Casper Ruud,R,183,NOR,26.0,207830,,,Tomas Machac,R,183,CZE,24.1,7-6(6) 5-7 6-4,3,RR,174,12,6,116,75,56,19,17,6,9,7,13,111,70,50,17,17,2,5,6,4255,25,1758
2025-9900,United Cup,Hard,18,A,20241227,387,207686,,,Alexander Shevchenko,R,185,KAZ,24.0,126774,,,Stefanos Tsitsipas,R,193,GRE,26.3,6-4 7-6(0),3,RR,112,2,3,70,45,31,19,11,1,2,7,4,77,42,30,16,11,2,4,78,715,11,3165
2025-9900,United Cup,Hard,18,A,20241227,386,126774,,,Stefanos Tsitsipas,R,193,GRE,26.3,105807,,,Pablo Carreno Busta,R,188,ESP,33.4,6-4 4-6 6-3,3,RR,128,13,6,84,49,40,19,15,1,3,2,3,92,70,48,9,14,6,9,11,3165,196,292
2025-9900,United Cup,Hard,18,A,20241227,385,105807,,,Pablo Carreno Busta,R,188,ESP,33.4,207686,,,Alexander Shevchenko,R,185,KAZ,24.0,6-2 6-1,3,RR,64,3,0,40,27,21,9,8,1,2,3,4,42,24,14,4,7,2,7,196,292,78,715
2025-9900,United Cup,Hard,18,A,20241227,384,207925,,,Flavio Cobolli,R,183,ITA,22.6,200005,,,Ugo Humbert,L,188,FRA,26.4,3-6 7-6(8) 6-2,3,RR,126,11,0,89,57,41,21,14,2,4,10,2,83,46,36,24,15,1,4,32,1472,14,2765
2025-9900,United Cup,Hard,18,A,20241227,383,207925,,,Flavio Cobolli,R,183,ITA,22.6,208502,,,Dominic Stricker,L,183,SUI,22.3,6-3 7-6(2),3,RR,89,5,3,67,36,27,22,10,5,5,6,0,62,45,33,7,11,0,2,32,1472,300,173
2025-9900,United Cup,Hard,18,A,20241227,382,200005,,,Ugo Humbert,L,188,FRA,26.4,208502,,,Dominic Stricker,L,183,SUI,22.3,6-3 7-5,3,RR,72,10,2,51,34,30,10,11,0,1,10,1,56,34,27,10,10,1,4,14,2765,300,173
2025-9900,United Cup,Hard,18,A,20241227,381,100644,,,Alexander Zverev,R,198,GER,27.6,111190,,,Zhizhen Zhang,R,193,CHN,28.1,2-6 6-0 6-2,3,RR,125,6,3,66,47,36,8,11,3,5,3,1,78,48,31,11,11,4,9,2,7915,45,1155
2025-9900,United Cup,Hard,18,A,20241227,380,111190,,,Zhizhen Zhang,R,193,CHN,28.1,106329,,,Thiago Monteiro,L,183,BRA,30.5,6-3 6-0,3,RR,54,10,0,39,30,26,7,8,0,0,3,2,35,22,13,3,7,1,5,45,1155,109,566
2025-9900,United Cup,Hard,18,A,20241227,379,100644,,,Alexander Zverev,R,198,GER,27.6,106329,,,Thiago Monteiro,L,183,BRA,30.5,6-4 6-4,3,RR,77,11,3,51,32,29,11,10,0,0,5,1,53,32,24,11,10,2,4,2,7915,109,566
2025-9900,United Cup,Hard,18,A,20241227,378,200282,,,Alex De Minaur,R,183,AUS,25.8,126129,,,Billy Harris,R,193,GBR,29.9,6-2 6-1,3,RR,76,6,2,40,19,17,13,7,3,3,3,1,56,36,17,9,8,2,7,9,3745,125,474
2025-9900,United Cup,Hard,18,A,20241227,377,144869,,,Tomas Martin Etcheverry,R,196,ARG,25.4,126129,,,Billy Harris,R,193,GBR,29.9,3-6 6-3 6-2,3,RR,164,10,1,93,61,44,18,13,8,9,9,4,90,50,37,18,13,6,9,39,1315,125,474
2025-9900,United Cup,Hard,18,A,20241227,376,200282,,,Alex De Minaur,R,183,AUS,25.8,144869,,,Tomas Martin Etcheverry,R,196,ARG,25.4,6-1 6-4,3,RR,76,8,2,51,26,23,15,9,0,0,2,1,47,28,20,7,8,3,6,9,3745,39,1315
2025-0339,Brisbane,Hard,32,A,20241230,378,208103,,,Jiri Lehecka,R,185,CZE,23.1,124187,,PR,Reilly Opelka,R,211,USA,27.3,4-1 RET,3,F,13,3,0,15,10,10,2,3,0,0,0,0,9,9,4,0,2,0,1,28,1660,293,176
2025-0339,Brisbane,Hard,32,A,20241230,377,124187,,PR,Reilly Opelka,R,211,USA,27.3,208659,,,Giovanni Mpetshi Perricard,R,203,FRA,21.4,6-3 7-6(4),3,SF,86,12,2,64,45,38,13,11,4,4,10,5,69,48,38,9,10,1,2,293,176,31,1561
2025-0339,Brisbane,Hard,32,A,20241230,376,208103,,,Jiri Lehecka,R,185,CZE,23.1,105777,2,,Grigor Dimitrov,R,191,BUL,33.6,6-4 4-4 RET,3,SF,83,4,3,52,26,22,17,9,0,0,6,2,49,32,24,12,9,1,2,28,1660,10,3350
2025-0339,Brisbane,Hard,32,A,20241230,375,124187,,PR,Reilly Opelka,R,211,USA,27.3,104925,1,,Novak Djokovic,R,188,SRB,37.6,7-6(6) 6-3,3,QF,100,16,1,64,49,38,13,11,1,1,8,1,73,53,38,12,10,4,5,293,176,7,3910
2025-0339,Brisbane,Hard,32,A,20241230,374,208659,,,Giovanni Mpetshi Perricard,R,203,FRA,21.4,210150,,,Jakub Mensik,R,193,CZE,19.3,7-5 7-6(5),3,QF,92,19,2,72,47,37,18,12,0,0,10,5,78,48,38,16,12,1,2,31,1561,48,1136
2025-0339,Brisbane,Hard,32,A,20241230,373,208103,,,Jiri Lehecka,R,185,CZE,23.1,111797,,,Nicolas Jarry,R,201,CHI,29.2,6-4 6-4,3,QF,89,10,2,66,39,31,14,10,5,5,8,2,62,39,28,11,10,3,5,28,1660,35,1370
2025-0339,Brisbane,Hard,32,A,20241230,372,105777,2,,Grigor Dimitrov,R,191,BUL,33.6,111442,8,,Jordan Thompson,R,183,AUS,30.6,6-1 2-1 RET,3,QF,43,1,1,31,21,19,5,5,0,0,1,1,26,12,7,6,5,1,4,10,3350,26,1745
2025-0339,Brisbane,Hard,32,A,20241230,371,104925,1,,Novak Djokovic,R,188,SRB,37.6,104792,,,Gael Monfils,R,193,FRA,38.3,6-3 6-3,3,R16,72,5,1,52,34,26,12,9,1,1,4,4,48,34,21,6,9,0,3,7,3910,55,1005
2025-0339,Brisbane,Hard,32,A,20241230,370,124187,,PR,Reilly Opelka,R,211,USA,27.3,208286,,,Matteo Arnaldi,R,185,ITA,23.8,7-6(9) 7-6(4),3,R16,116,25,6,86,58,49,13,12,1,2,8,2,75,40,34,21,12,1,2,293,176,37,1345
2025-0339,Brisbane,Hard,32,A,20241230,369,208659,,,Giovanni Mpetshi Perricard,R,203,FRA,21.4,126207,4,,Frances Tiafoe,R,188,USA,26.9,6-4 7-6(4),3,R16,92,20,4,75,50,40,11,11,2,2,6,2,72,38,31,16,11,2,3,31,1561,18,2585
2025-0339,Brisbane,Hard,32,A,20241230,368,210150,,,Jakub Mensik,R,193,CZE,19.3,105583,,LL,Dusan Lajovic,R,183,SRB,34.5,6-3 6-2,3,R16,65,4,0,51,38,27,9,9,2,3,5,1,55,43,21,6,8,5,9,48,1136,81,710
2025-0339,Brisbane,Hard,32,A,20241230,367,111797,,,Nicolas Jarry,R,201,CHI,29.2,126127,,Q,Benjamin Bonzi,R,183,FRA,28.5,6-2 6-3,3,R16,65,10,0,43,30,27,6,9,0,1,4,2,51,35,18,9,8,3,7,35,1370,75,730
2025-0339,Brisbane,Hard,32,A,20241230,366,208103,,,Jiri Lehecka,R,185,CZE,23.1,106415,,Q,Yoshihito Nishioka,L,170,JPN,29.2,6-2 6-7(5) 6-4,3,R16,139,17,3,81,51,45,17,15,2,3,3,3,107,75,49,16,15,8,12,28,1660,69,776
